 ;ID de cuidad-1-1-1-0|Nombre de Cuidad-3-25-0-1|Edad-1-1-0-0|Departamentos de policia-1-1-0-0|Estado-3-1-0-0|;0;1; ;                                                                                                                                                                                                                                                                                                                                                                                              
59;Nombre de Cuidad59;50;1593;Estado59;| | |                                                                                                                                                                                                                   
60;Nombre de Cuidad60;64;5790;Estado60;| | |                                                                                                                                                                                                                   
61;Nombre de Cuidad61;71;5560;Estado61;| | |                                                                                                                                                                                                                   
62;Nombre de Cuidad62;42;3050;Estado62;| | |                                                                                                                                                                                                                   
63;Nombre de Cuidad63;15;7578;Estado63;| | |                                                                                                                                                                                                                   
64;Nombre de Cuidad64;88;2323;Estado64;| | |                                                                                                                                                                                                                   
65;Nombre de Cuidad65;69;3246;Estado65;| | |                                                                                                                                                                                                                   
66;Nombre de Cuidad66;41;1009;Estado66;| | |                                                                                                                                                                                                                   
67;Nombre de Cuidad67;29;1120;Estado67;| | |                                                                                                                                                                                                                   
68;Nombre de Cuidad68;57;9935;Estado68;| | |                                                                                                                                                                                                                   
69;Nombre de Cuidad69;85;7784;Estado69;| | |                                                                                                                                                                                                                   
70;Nombre de Cuidad70;77;2597;Estado70;| | |                                                                                                                                                                                                                   
71;Nombre de Cuidad71;60;8765;Estado71;| | |                                                                                                                                                                                                                   
72;Nombre de Cuidad72;58;9810;Estado72;| | |                                                                                                                                                                                                                   
73;Nombre de Cuidad73;43;1301;Estado73;| | |                                                                                                                                                                                                                   
74;Nombre de Cuidad74;14;4415;Estado74;| | |                                                                                                                                                                                                                   
75;Nombre de Cuidad75;22;4900;Estado75;| | |                                                                                                                                                                                                                   
76;Nombre de Cuidad76;75;9506;Estado76;| | |                                                                                                                                                                                                                   
77;Nombre de Cuidad77;45;9342;Estado77;| | |                                                                                                                                                                                                                   
78;Nombre de Cuidad78;31;1630;Estado78;| | |                                                                                                                                                                                                                   
79;Nombre de Cuidad79;20;1978;Estado79;| | |                                                                                                                                                                                                                   
80;Nombre de Cuidad80;53;7708;Estado80;| | |                                                                                                                                                                                                                   
81;Nombre de Cuidad81;78;7534;Estado81;| | |                                                                                                                                                                                                                   
82;Nombre de Cuidad82;60;4328;Estado82;| | |                                                                                                                                                                                                                   
83;Nombre de Cuidad83;89;2241;Estado83;| | |                                                                                                                                                                                                                   
84;Nombre de Cuidad84;74;1930;Estado84;| | |                                                                                                                                                                                                                   
85;Nombre de Cuidad85;83;1561;Estado85;| | |                                                                                                                                                                                                                   
86;Nombre de Cuidad86;79;3278;Estado86;| | |                                                                                                                                                                                                                   
87;Nombre de Cuidad87;63;1418;Estado87;| | |                                                                                                                                                                                                                   
88;Nombre de Cuidad88;60;5275;Estado88;| | |                                                                                                                                                                                                                   
89;Nombre de Cuidad89;15;6903;Estado89;| | |                                                                                                                                                                                                                   
90;Nombre de Cuidad90;83;2461;Estado90;| | |                                                                                                                                                                                                                   
91;Nombre de Cuidad91;30;9120;Estado91;| | |                                                                                                                                                                                                                   
92;Nombre de Cuidad92;36;7312;Estado92;| | |                                                                                                                                                                                                                   
93;Nombre de Cuidad93;28;4984;Estado93;| | |                                                                                                                                                                                                                   
94;Nombre de Cuidad94;82;9250;Estado94;| | |                                                                                                                                                                                                                   
95;Nombre de Cuidad95;72;5105;Estado95;| | |                                                                                                                                                                                                                   
96;Nombre de Cuidad96;93;9314;Estado96;| | |                                                                                                                                                                                                                   
97;Nombre de Cuidad97;11;2094;Estado97;| | |                                                                                                                                                                                                                   
98;Nombre de Cuidad98;83;6723;Estado98;| | |                                                                                                                                                                                                                   
99;Nombre de Cuidad99;94;8597;Estado99;| | |                                                                                                                                                                                                                   
100;Nombre de Cuidad100;87;6471;Estado100;| | |                                                                                                                                                                                                                
101;Nombre de Cuidad101;86;2152;Estado101;| | |                                                                                                                                                                                                                
102;Nombre de Cuidad102;76;8346;Estado102;| | |                                                                                                                                                                                                                
103;Nombre de Cuidad103;28;9495;Estado103;| | |                                                                                                                                                                                                                
104;Nombre de Cuidad104;72;4845;Estado104;| | |                                                                                                                                                                                                                
105;Nombre de Cuidad105;89;8107;Estado105;| | |                                                                                                                                                                                                                
106;Nombre de Cuidad106;61;3082;Estado106;| | |                                                                                                                                                                                                                
107;Nombre de Cuidad107;65;2273;Estado107;| | |                                                                                                                                                                                                                
108;Nombre de Cuidad108;53;3251;Estado108;| | |                                                                                                                                                                                                                
109;Nombre de Cuidad109;29;4961;Estado109;| | |                                                                                                                                                                                                                
110;Nombre de Cuidad110;73;5090;Estado110;| | |                                                                                                                                                                                                                
111;Nombre de Cuidad111;96;9570;Estado111;| | |                                                                                                                                                                                                                
112;Nombre de Cuidad112;100;2212;Estado112;| | |                                                                                                                                                                                                               
113;Nombre de Cuidad113;11;7947;Estado113;| | |                                                                                                                                                                                                                
114;Nombre de Cuidad114;45;5503;Estado114;| | |                                                                                                                                                                                                                
115;Nombre de Cuidad115;34;9001;Estado115;| | |                                                                                                                                                                                                                
116;Nombre de Cuidad116;15;6932;Estado116;| | |                                                                                                                                                                                                                
117;Nombre de Cuidad117;45;7512;Estado117;| | |                                                                                                                                                                                                                
118;Nombre de Cuidad118;50;2803;Estado118;| | |                                                                                                                                                                                                                
119;Nombre de Cuidad119;86;7448;Estado119;| | |                                                                                                                                                                                                                
120;Nombre de Cuidad120;91;4563;Estado120;| | |                                                                                                                                                                                                                
121;Nombre de Cuidad121;12;6158;Estado121;| | |                                                                                                                                                                                                                
122;Nombre de Cuidad122;41;6034;Estado122;| | |                                                                                                                                                                                                                
123;Nombre de Cuidad123;59;7787;Estado123;| | |                                                                                                                                                                                                                
124;Nombre de Cuidad124;76;7231;Estado124;| | |                                                                                                                                                                                                                
125;Nombre de Cuidad125;71;2397;Estado125;| | |                                                                                                                                                                                                                
126;Nombre de Cuidad126;90;6145;Estado126;| | |                                                                                                                                                                                                                
127;Nombre de Cuidad127;16;1912;Estado127;| | |                                                                                                                                                                                                                
128;Nombre de Cuidad128;59;1387;Estado128;| | |                                                                                                                                                                                                                
129;Nombre de Cuidad129;16;5929;Estado129;| | |                                                                                                                                                                                                                
130;Nombre de Cuidad130;20;4272;Estado130;| | |                                                                                                                                                                                                                
131;Nombre de Cuidad131;97;3655;Estado131;| | |                                                                                                                                                                                                                
132;Nombre de Cuidad132;40;9285;Estado132;| | |                                                                                                                                                                                                                
133;Nombre de Cuidad133;31;1918;Estado133;| | |                                                                                                                                                                                                                
134;Nombre de Cuidad134;65;2983;Estado134;| | |                                                                                                                                                                                                                
135;Nombre de Cuidad135;47;3561;Estado135;| | |                                                                                                                                                                                                                
136;Nombre de Cuidad136;34;2457;Estado136;| | |                                                                                                                                                                                                                
137;Nombre de Cuidad137;21;7875;Estado137;| | |                                                                                                                                                                                                                
138;Nombre de Cuidad138;18;3937;Estado138;| | |                                                                                                                                                                                                                
139;Nombre de Cuidad139;87;9555;Estado139;| | |                                                                                                                                                                                                                
140;Nombre de Cuidad140;76;2576;Estado140;| | |                                                                                                                                                                                                                
141;Nombre de Cuidad141;98;3410;Estado141;| | |                                                                                                                                                                                                                
142;Nombre de Cuidad142;39;5925;Estado142;| | |                                                                                                                                                                                                                
143;Nombre de Cuidad143;55;6737;Estado143;| | |                                                                                                                                                                                                                
144;Nombre de Cuidad144;40;9278;Estado144;| | |                                                                                                                                                                                                                
145;Nombre de Cuidad145;100;9204;Estado145;| | |                                                                                                                                                                                                               
146;Nombre de Cuidad146;45;4922;Estado146;| | |                                                                                                                                                                                                                
147;Nombre de Cuidad147;85;7165;Estado147;| | |                                                                                                                                                                                                                
148;Nombre de Cuidad148;88;3749;Estado148;| | |                                                                                                                                                                                                                
149;Nombre de Cuidad149;38;8534;Estado149;| | |                                                                                                                                                                                                                
150;Nombre de Cuidad150;14;5448;Estado150;| | |                                                                                                                                                                                                                
151;Nombre de Cuidad151;16;8967;Estado151;| | |                                                                                                                                                                                                                
152;Nombre de Cuidad152;87;6156;Estado152;| | |                                                                                                                                                                                                                
153;Nombre de Cuidad153;27;7672;Estado153;| | |                                                                                                                                                                                                                
154;Nombre de Cuidad154;71;7691;Estado154;| | |                                                                                                                                                                                                                
155;Nombre de Cuidad155;81;5779;Estado155;| | |                                                                                                                                                                                                                
156;Nombre de Cuidad156;12;5404;Estado156;| | |                                                                                                                                                                                                                
157;Nombre de Cuidad157;51;6050;Estado157;| | |                                                                                                                                                                                                                
158;Nombre de Cuidad158;30;8065;Estado158;| | |                                                                                                                                                                                                                
159;Nombre de Cuidad159;27;6424;Estado159;| | |                                                                                                                                                                                                                
160;Nombre de Cuidad160;48;5102;Estado160;| | |                                                                                                                                                                                                                
161;Nombre de Cuidad161;100;2823;Estado161;| | |                                                                                                                                                                                                               
162;Nombre de Cuidad162;61;4416;Estado162;| | |                                                                                                                                                                                                                
163;Nombre de Cuidad163;42;8541;Estado163;| | |                                                                                                                                                                                                                
164;Nombre de Cuidad164;30;8992;Estado164;| | |                                                                                                                                                                                                                
165;Nombre de Cuidad165;63;5179;Estado165;| | |                                                                                                                                                                                                                
166;Nombre de Cuidad166;73;4083;Estado166;| | |                                                                                                                                                                                                                
167;Nombre de Cuidad167;64;3221;Estado167;| | |                                                                                                                                                                                                                
168;Nombre de Cuidad168;37;5391;Estado168;| | |                                                                                                                                                                                                                
169;Nombre de Cuidad169;70;6823;Estado169;| | |                                                                                                                                                                                                                
170;Nombre de Cuidad170;90;6020;Estado170;| | |                                                                                                                                                                                                                
171;Nombre de Cuidad171;55;6817;Estado171;| | |                                                                                                                                                                                                                
172;Nombre de Cuidad172;95;5628;Estado172;| | |                                                                                                                                                                                                                
173;Nombre de Cuidad173;56;2065;Estado173;| | |                                                                                                                                                                                                                
